track,artist,lyrics
What You Know Bout Love,Pop Smoke,"Uh

Shawty go jogging every morning (Every morning)
And she make me breakfast almost every morning (Every morning)
And she take a naked pic before she leave the door
I be waking up to pics before a nigga yawning
And every weekend my shawty comin' over (Over)
Shawty could Fendi out but she like Fashion Nova (Nova)
She ain't driving no Camry she pullin' in a Rover (Rover)
With her hair so curly, I love you, baby

She said, ""What you know 'bout love?"" (I'll tell you everything)
I got what you need (Oh)
Walk up in the store and get what you want (Go get it)
You get what you please
We 'bout to get it on, take off them drawers (I said I love you, baby)
It's just you and me
You know what I be on, I'm about to go raw (Love you, baby)
'Cause I like what I see

Look, baby, I said I ain't gon' front
You got my heart beating so fast to words I can't pronounce
And I be getting the chills every time I feel your touch
I be looking at the top and girl, it's only us
All I need is your trust
And girl I told you once, don't make me tell you twice
I know you see this print through my pants that I know you like
And yo ass be looking so fat when it be in them tights
And I'm going straight to the top, so hope you ain't afraid of heights
You always keep me right, for a fact, you never left
Through all the trials and tribulations, always had my best
So here's fifty-five hunnid, go and get your breasts
Start rubbin' on your butt, start kissing on yo neck
Hey batter, batter, hey batter, batter
Niggas know I had to swing, I had to make a play
I had to apply the pressure, 'cause you my hidden treasure
I think I'm falling in love
She said, ""What you know 'bout love?"" (I'll tell you everything)
I got what you need (Oh)
Walk up in the store and get what you want (Go get it)
You get what you please
We 'bout to get it on, take off them drawers (I said I love you, baby)
It's just you and me
You know what I be on, I'm about to go raw (Love you, baby)
'Cause I like what I see"
Therefore I Am,Billie Eilish,"I'm not your friend
Or anything, damn
You think that you're the man
I think, therefore, I am
I'm not your friend
Or anything, damn
You think that you're the man
I think, therefore, I am

Stop, what the hell are you talking about? Ha
Get my pretty name out of your mouth
We are not the same with or without
Don't talk 'bout me like how you might know how I feel
Top of the world, but your world isn't real
Your world's an ideal

So go have fun
I really couldn't care less
And you can give 'em my best, but just know

I'm not your friend
Or anything, damn
You think that you're the man
I think, therefore, I am
I'm not your friend
Or anything, damn
You think that you're the man
I think, therefore, I am
I don't want press to put your name next to mine
We're on different lines, so I
Wanna be nice enough, they don't call my bluff
'Cause I hate to find
Articles, articles, articles
Rather you remain unremarkable (Got a lotta)
Interviews, interviews, interviews
When they say your name, I just act confused

Did you have fun?
I really couldn't care less
And you can give 'em my best, but just know

I'm not your friend
Or anything, damn
You think that you're the man
I think, therefore, I am
I'm not your friend
Or anything, damn
You think that you're the man
I think, therefore, I am

I'm sorry
I don't think I caught your name
I'm sorry
I don't think I caught your name
I'm not your friend (I'm not your friend)
Or anything, damn
You think that you're the man (They wanna, they can try)
I think, therefore, I am (I am)
I'm not your friend (Friend)
Or anything, damn (They wanna)
You think that you're the man (You're the man)
I think, therefore, I am (Therefore, I am)"
Back In Blood,Pooh Shiesty ,"Smurk (Mmm, mmm, big blrrrd, huh?)
I don't know why he want something back from me, shit (Mmm, mmm)
(Turn me up, YC) Shit
Yeah, I give you this shit in blood, homie (Mmm, mmm)

Bitch, I got my own fire, don't need security in the club (Nope)
All that woofin' on the net (Net), nigga, I thought you was a thug
They ain't got nowhere to go, I shot up everywhere they was (Blrrrd)
Yeah, you know who took that shit from you (Blrrrd), come get it back in blood (Blrrrd, blrrrd)
Bitch, come get it back in blood (Big blrrrd)
We ain't mask up, no dodger (Nope), rich niggas know who it was (Fuck 'em)
Extortin' shit just like the '80s, want something back, get it in blood (God)
Yeah, you know who took that shit from you (Ayy), come get it back in blood (Big blrrrd, blrrrd)

If your nigga killer ain't dead, you shouldn't wear no R.I.P. shirt (Nope)
Wе had three hundred shots up in the car beforе we picked up Durk (3Hunna)
You niggas who? Ain't got shit goin', go grab a glizzy, get alert (Alert)
Shiesty G post ""R.I.P."" and reason he in the dirt (On slime, blrrrd, blrrrd)
You gotta know I go too far (Let's go)
It's two O's up on this hundred, one of 'em might stand for O'Block (Blrrrd)
'Bout twenty some shots left up in the K, fifteen still in the Glock (The glizzy)
Keep my door unlocked and stop, I like gettin' on feet, park the car (Stop, stop), blrrrd (Park the car, blrrrd)
We gettin' up close, do him dirty, I ain't showin' love (Nope)
Eleven thousand all ones left my right pocket in the club (On God)
These blue faces up on me dirty, I went and got it out the mud (For sure)
If I took something, get it in blood (Blrrrd), I don't give a fuck what we was (Blrrrd, blrrrd)
Bitch, I got my own fire (Blrrrd), don't need security in the club (Blrrrd, big blrrrd, nope)
All that woofin' on the net (Net), nigga, I thought you was a thug
They ain't got nowhere to go, I shot up everywhere they was (Blrrrd)
Yeah, you know who took that shit from you (Blrrrd), come get it back in blood (Blrrrd, blrrrd)
Bitch, come get it back in blood (Big blrrrd)
We ain't mask up, no dodger (Smurk), rich niggas know who it was (Fuck 'em)
Extortin' shit just like the '80s (Gang), want something back, get it in blood (God)
Yeah, you know who took that shit from you, come get it back in blood (Let's get it)

Killed your mans, you keep on talkin', better get that shit in blood
Give my shawty and them a dub, then they gon' walk inside this club (Yeah, yeah)
Hit his lil' ass with that switch (Grrah), I bet that switch switch up his nerves
Fuck the opps, inside my city, lil' bro put them in the mud (Brrah, facts)
You can't come back to your hood, huh? (Nope)
He was dissin' on my cousin, now his ass all in that wood, huh? (Boom, boom, boom)
Book his ass, I wish he would come (Pussy)
V. Roy pop up out that cut with that new Glock, I wish he would run (Grrah, grrah-grrah)
His ass playin', bitch, I'm really icy (Really icy)
Pooh Shiesty, that's my dawg, but Pooh, you know I'm really shiesty (My nigga)
You told all them O.T. niggas that you really slide (Pussy)
Tell the truth about your gang, bitch, they really dyin' (Let's get it)

Bitch, I got my own fire, don't need security in the club (Nope)
All that woofin' on the net (Net), nigga, I thought you was a thug
They ain't got nowhere to go, I shot up everywhere they was (Blrrrd)
Yeah, you know who took that shit from you (Blrrrd), come get it back in blood (Blrrrd, blrrrd)
Bitch, come get it back in blood (Big blrrrd)
We ain't mask up, no dodger (Nope), rich niggas know who it was (Fuck 'em)
Extortin' shit just like the '80s, want something back, get it in blood (God)
Yeah, you know who took that shit from you, come get it back in blood (Bitch), blrrrd
Come get it back in blood (Blrrrd, big blrrrd)"
Whoopty,CJ,Freestyle Off My CJ Whoopty
For The Night,Pop Smoke ,"CashMoneyAP
Kill 'em, get 'em, get 'em, oh
Oh (I'm tryna fuckin' get 'em), oh (I'm tryna fuck on a thot)
Oh, oh (Get 'em), oh
Oh (Gettin' big on this), oh, oh, oh
Oh, oh, oh, oh
Oh, oh, oh
What do you want? Won't tell you twice, yeah
I'm a thief in the night (Thief in the night), oh

I did some wrong (Oh, oh), but I'm always right (Oh, oh)
Said I know how to shoot (Oh, oh) and I know how to fight
Boy, I'll tell you once, won't tell you twice
I'm real discreet, like a thief in the night (Look)

If I call you bae, you bae for the day
Or a bae for the night, you not my wife
She want a killer to fuck all night
I wanna fuck on a thot, gimme head all night
AP, big rocks, in the hood with the 'rillas
Five K on the dinner, bring three hundred thou' to the dealer

I did some wrong (Oh, oh), but I'm always right (Oh, oh)
Said I know how to shoot (Oh, oh) and I know how to fight
Boy, I'll tell you once, won't tell you twice
I'm real discreet, like a thief in the night (Baby)
I'm rich but I'm ridin', I'm low on exotic, I'm 'bout to fly out and go get me some
Nothin' ain't seen, all this money on me, hunnid racks in the bag, that's a honey bun
Baby OG, I been runnin' these streets, got the game from Lashawn, I'm my mama's son
Learned 'bout the triple cross when I was young and I know I ain't goin' so I keep a gun
I flew to Paris just to buy some Dior
She beggin' for attention, I don't see her
C.I.P. Pop, I wish that you could see us
Million cash plus whenever I go re-up
I got some niggas in the street, won't beat me
I got the industry tryna be me
I just go Ray Charles, they can't see me
I'm in a Rolls-Royce with a RiRi

I did some wrong (Oh, oh), but I'm always right (Oh, oh)
Said I know how to shoot (Oh, oh) and I know how to fight
Boy, I'll tell you once, won't tell you twice
I'm real discreet, like a thief in the night (Yeah)

Like a thief in the night (Thief)
I pull up, give her D for the night (Uh-huh)
Tryna fuck in the V, it's aight (Let's fuck)
We can't fuck up my seats 'cause they white (That's my seats, watch my motherfuckin' seats)
I'm livin' like ""Thriller,"" I only come out at the night time
She don't fuck with liquor, don't like bein' tipsy
She don't do the Henny, just white wine (What she do?)
Pop the cork on some new Pinot Grigio (Yeah)
I pull up in the Porsche wit' a freaky ho (Zoom)
Park the Porsche then pull up in a Lambo (Hmph)
I hop out, Major Payne, rockin' camo (Yessir)
Think she cute, make her fuck, let her man go (She cute)
Like to shoot, light you up, bitch, I'm Rambo
Cuban link full of rocks, it's a choker (Oh)
Rest in peace to the Pop, make me smoke ya
I did some wrong (Oh, oh), but I'm always right (Oh, oh)
Said I know how to shoot (Oh, oh) and I know how to fight
Boy, I'll tell you once, won't tell you twice
I'm real discreet, like a thief in the night"
Dakiti,Bad Bunny & Jhay Cortez,"Baby, ya yo me enteré, se nota cuando me ve'
Ahí donde no has llega'o sabe' que yo te llevaré
Y dime qué quiere' beber, es que tú ere' mi bebé
¿Y de nosotro' quién va a hablar? Si no nos dejamo' ver

Y a vece' e' Dolce, a vece' Bulgari
Cuando te lo quito despué' de lo' partie'
Las copa' de vino, las libra' de mari
Tú estás bien suelta, yo de safari
Tú muevе' el culo fenomenal
Pa' yo dеvorarte como animal
Si no te ha' venío', yo te vo'a esperar
En mi cama y lo vo'a celebrar

Baby, a ti no me opongo
Y siempre te lo pongo
Y si tú me tira', vamo' a nadar en lo hondo
Si e' por mí te lo pongo
De septiembre hasta agosto
A mí sin cojone' lo que digan tu' amiga'
Ya yo me enteré, se nota cuando me ve'
Ahí donde no ha' llega'o sabe' que yo te llevaré
Y dime qué quiere' beber, e' que tú ere' mi bebé
¿Y de nosotro' quién va a hablar? Si no nos dejamo' ver (¿Me sigue'?)

Mami, me tiene' juquea'o, sí
Si fuera' la Uru', me tuviese' parquea'o
Dando vuelta' por Condado, contigo siempre arrebata'o
Tú no ere' mi señora, pero
Toma cinco mil, gástalo en Sephora
Louis Vuitton, ya no compra en Pandora
Como piercing, a los hombre' perfora, eh-eh-eh

Hace tiempo le rompieron el cora (El cora)
Estudiosa, puesta pa' ser doctora (Doctora)
Pero (Pero), le gustan los títere' wheeleando motora (Motora)
Yo estoy pa' ti las veinticuatro hora'

Baby, a ti no me opongo
Y siempre te lo pongo (-pre te lo pongo)
Y si tú me tira', vamo' a nadar en lo hondo (Nadar en lo hondo)
Si es por mí te lo pongo
De septiembre hasta agosto
Y a mí sin cojone' lo que digan tu' amiga'
Ya yo me enteré, se nota cuando me ve'
Ahí donde no ha' llega'o sabe' que yo te llevaré
Y dime qué quiere' beber, e' que tú ere' mi bebé
¿Y de nosotro' quién va a hablar? Si no nos dejamo' ver

Y a vece' e' Dolce, a vece' Bulgari
Cuando te lo quito despué' de lo partie'
La' copa' de vino, las libra' de mari
Tú estás bien suelta, yo de safari
Tú mueve' el culo fenomenal
Pa' yo devorarte como animal
Si no te ha' venío', yo te vo'a esperar
En mi cama y lo vo'a celebrar"
Good Days,SZA,"Good day in my mind, safe to take a step out
Get some air now, let yo edge out
Too soon, I spoke
You be heavy in my mind, can you get the heck out?
I need rest now, got me bummed out
You so, you so, you
Baby, baby, babe
I've been on my empty mind shit

I try to keep from losin' the rest of me
I worry that I wasted the best of me on you, babe
You don't care
Said, ""Not tryna be a nuisance, this is urgent""
Tryna make sense of loose change
Got me a war in my mind
Gotta let go of weight, can't keep what's holdin' me
Choose to watch while the world break up in front of me

All the while, I'll await my armored fate with a smile
Still wanna try, still believe in
Good days, good days, always
Always inside (Always in my mind, always in my mind, mind)
Good day living in my mind
Tell me I'm not my fears, my limitations
I disappear if you let me
Feelin' like, yeah (On your own)
Feelin' like Jericho
Feelin' like Job when he lost his shit
Gotta hold my own, my cross to bear alone, I
Ooh, played and dipped, way to kill the mood
Know you like that shit
Can't groove it, ba-baby
Heavy on my empty mind shit

I gotta keep from losin' the rest of me (Rest of me)
Still worry that I wasted the best of me on you, babe
You don't care
Said, ""Not tryna be a nuisance, this is urgent"" (It's urgent)
Tryna make sense of loose change
Got me a war in my mind (My mind)
Gotta let go of weight, can't keep what's holdin' me
Choose to watch while the world break up in front of me

All the while, I'll await my armored fate with a smile
Still wanna try, still believe in
Good days, good days, always (Good days on my mind, good days on my mind)
Sunny inside (Always in my mind, always in my mind, mind)
Good day living in my mind
Gotta get right
Tryna free my mind before the end of the world
I don't miss no ex, I don't miss no text
I choose not to respond
I don't regret, just pretend shit never happened
Half of us layin' waste to our youth, it's in the present
(Na-na, na-na, na-na, na)
Half of us chasin' fountains of youth and it's in the present now

Always in my mind, always in my mind, mind
You've been making me feel like I'm
Always in my mind, always in my mind, mind"
I Hope,Gabby Barrett ,"I, I hope she makes you smile
The way you made me smile on the other end of a phone
In the middle of a highway driving alone
Oh baby, I, I hope you hear a song
That makes you sing along and gets you thinking 'bout her
Then the last several miles turn into a blur, yeah

I hope you're both feelin' sparks by the end of the drive
I hope you know she's the one by the end of the night
I hope you never ever felt more free
Tell your friends that you're so happy
I hope she comes along and wrecks every one of your plans
I hope you spend your last dime to put a rock on her hand
I hope she's wilder than your wildest dreams
She's everything you're ever gonna need
And then I hope she cheats
Like you did on me
And then I hope she cheats
Like you did on me

Yeah, babe, I hope she shows up in a 2 AM pic from her friend
Hanging on to a guy and you just ain't him
I hope you stay up all night all alone, waitin' by the phone
And then she calls
And baby, I, I hope you work it out
Forgive and just about forget
And take her on a first date again
And when you lean in for a kiss
I hope you're both feelin' sparks by the end of the drive
I hope you know she's the one by the end of the night
I hope you never ever felt more free
Tell your friends that you're so happy
I hope she comes along and wrecks every one of your plans
I hope you spend your last dime to put a rock on her hand
I hope she's wilder than your wildest dreams
She's everything you're ever gonna need
And then I hope she cheats
Like you did on me
And then I hope she cheats
Like you did on me

I hope what goes comes all the way around
I hope she makes you feel the same way about her
That I feel about you right now

I hope you're both feelin' sparks by the end of the drive
I hope you know she's the one by the end of the night
I hope you never ever felt more free
Tell your friends that you're so happy
I hope she comes along and wrecks every one of your plans
I hope you spend your last dime to put a rock on her hand
I hope she's wilder than your wildest dreams
She's everything you're ever gonna need
And then I hope she cheats
Like you did on me
And then I hope she cheats
Like you did on me
Like you did on me"
You're Mines Still,Yung Bleu ,"So you wanna be riding around with your new bitch
That's real cute
Don't have me drag you and her out that motherfuckin' car
Key your shit
Ha! I wish I would see you in that Bentley
So I could flat all four of your motherfuckin' tires
And you know what? I just got tickets to the Lakers game anyway
Nigga, you could never

If I ever made you angry, girl
Just know that it get better with time (Time)
They say time heals
She can't see her life without me, she's so blind still
Fuck that nigga, you can tell him that you're mines still

And she don't wanna go to sleep, she angry
Lately, she's been noticing hе ain't me

I wish that we can change placеs
Don't want no new, new faces
She got my heartbeat racing
They say time heals
Don't go build no life without me 'cause you're mines still
Oh, and I don't wanna go unless you make me
Lately I've been gone, I'm feeling crazy
Yeah, I'm from the bricks, we gotta whole lot of bricks
You gotta whole lotta tricks and I wanna see what you do with them
I just saw you in Miami, girl, what you doing here?
I hope you with your girlfriends
I ain't pay attention to your heart, I played ya
Now she fell in love with an NBA player
Had her on the stage, now she ballin at the stadium
Matter fact I hope you stay with him
'Cause I don't wanna go unless you take me
I know you feel the pain

And she don't wanna go to sleep, she angry
Lately, she's been noticing he ain't me

I wish that we can change places
Don't want no new, new faces
She got my heartbeat racing
They say time heals
Don't go build no life without me 'cause you're mine still
And I don't wanna go unless you make me
Down on my knees hoping you take me

Better tell that nigga you mine
Heard you've been trying to tie the knot, girl, tell me you lyin'
Let me beat that pussy up one more time
Let me beat that pussy up one more time
I know that you fiend for this
I know that you did not forget
So don't go to sleep
And she don't wanna go to sleep, she angry
Lately, she been noticing he ain't me
(Oh, he ain't me)

I wish that we can change places
Don't want no new, new faces
She got my heartbeat racing (Hey, yeah)
They say time heals (They say)
Don't go build no life without me 'cause you're mines still
Oh, and I don't wanna go unless you make me
Lately, I've been gone, I'm feeling crazy"
Better Together,Luke Combs,"A 40 HP Johnson on a flat bottom metal boat
Coke cans and BB guns, barbed wire and old fence posts
8-point bucks in autumn and freshly cut cornfields
One arm out the window and one hand on the wheel

Some things just go better together and probably always will
Like a cup of coffee and a sunrise, Sunday drives and time to kill
What's the point of this ol' guitar if it ain't got no strings?
Or pourin' your heart into a song that you ain't gonna sing?
It's a match made up in heaven, like good ol' boys and beer
And me, as long as you're right here

Your license in my wallet when we go out downtown
Your lipstick's stained every coffee cup that I got in this house
The way you say, ""I love you, too"" is like rain on an old tin roof
And your hand fits right into mine like a needle in a groove

Some things just go better together and probably always will
Like a cup of coffee and a sunrise, Sunday drives and time to kill
What's the point of this ol' guitar if it ain't got no strings?
Or pourin' your heart into a song that you ain't gonna sing?
It's a match made up in heaven, like good ol' boys and beer
And me, as long as you're right here
Sometimes we're oil and water
But I wouldn't have it any other way
And if I'm being honest
Your first and my last name

Would just sound better together and probably always will
Like a cup of coffee and a sunrise, Sunday drives and time to kill
What's the point of this ol' guitar if it ain't got no strings?
Or pourin' your heart into a song that you ain't gonna sing?
It's a match made up in heaven, like good ol' boys and beer
And me, as long as you're right here
And me, as long as you're right here"
You Broke Me First.,Tate McRae,"You broke me first

Maybe you don't like talking too much about yourself
But you shoulda told me
That you were thinking 'bout someone else
You're drunk at a party
Or maybe it's just that your car broke down
Your phone's been off for a couple of months
So you're calling me now

I know you, you're like this
When shit don't go your way you needed me to fix it
And like me, I did
But I ran out of every reason

Now suddenly you're asking for it back
Could you tell me, where'd you get the nerve?
Yeah, you could say you miss all that we had
But I don't really care how bad it hurts
When you broke me first
You broke me first
Took a while, was in denial when I first heard
That you moved on quicker than I could've ever
You know that hurt
Swear, for a while, I would stare at my phone
Just to see your name
But now that it's there, I don't really know what to say

I know you, you're like this
When shit don't go your way you needed me to fix it
And like me, I did
But I ran out of every reason

Now suddenly you're asking for it back
Could you tell me, where'd you get the nerve?
Yeah, you could say you miss all that we had
But I don't really care how bad it hurts
When you broke me first
You broke me first

What did you think would happen?
What did you think would happen?
I'll never let you have it
What did you think would happen?
Now suddenly you're asking for it back
Could you tell me, where'd you get the nerve?
Yeah, you could say you miss all that we had
But I don't really care how bad it hurts
When you broke me first
You broke me first (You broke me first)
You broke me first, ooh oh"
