track,artist,lyrics
Willow,Taylor Swift,"I'm like the water when your ship rolled in that night
Rough on the surface, but you cut through like a knife
And if it was an open-shut case
I never would've known from that look on your face
Lost in your current like a priceless wine

The more that you say, the less I know
Wherever you stray, I follow
I'm begging for you to take my hand
Wreck my plans, that's my man

Life was a willow and it bent right to your wind
Head on the pillow, I could feel you sneakin' in
As if you were a mythical thing
Like you were a trophy or a champion ring
And there was one prize I'd cheat to win

The more that you say, the less I know
Wherever you stray, I follow
I'm begging for you to take my hand
Wreck my plans, that's my man
You know that my train could take you home
Anywhere else is hollow
I'm begging for you to take my hand
Wreck my plans, that's my man
Life was a willow and it bent right to your wind
They count me out time and time again
Life was a willow and it bent right to your wind
But I come back stronger than a '90s trend

Wait for the signal, and I'll meet you after dark
Show me the places where the others gave you scars
Now this is an open-shut case
I guess I should've known from the look on your face
Every bait-and-switch was a work of art

The more that you say, the less I know
Wherever you stray, I follow
I'm begging for you to take my hand
Wreck my plans, that's my man
You know that my train could take you home
Anywhere else is hollow
I'm begging for you to take my hand
Wreck my plans, that's my man
The more that you say, the less I know
Wherever you stray, I follow
I'm begging for you to take my hand
Wreck my plans, that's my man
You know that my train could take you home
Anywhere else is hollow
I'm begging for you to take my hand
Wreck my plans, that's my man
Hey, that's my man
That's my man
Yeah, that's my man
Every bait-and-switch was a work of art
That's my man
Hey, that's my man
I'm begging for you to take my hand
Wreck my plans, that's my man"
Hold On,Justin Bieber,"You know you can call me if you need someone
I'll pick up the pieces if you come undone

Painting stars up on your ceiling
'Cause you wish that you could find some feeling, yeah, you
You know you can call me if you need someone

I need you to hold on
Heaven is a place not too far away
We all know I should be the one
To say we all make mistakes (We all make mistakes)
Take my hand and hold on
Tell me everything that you need to say
'Cause I know how it feels to be someone (Someone)
Feels to be someone who loses their way

You're looking for answers in a place unknown
You need the connection but you can't get close (Can't get close)

Painting stars up on your ceiling
'Cause you wish that you could find some feeling, yeah, you
You know you can call me if you need someone
I need you to hold on (Hold on)
Heaven is a place not too far away (Away, yeah)
We all know I should be the one
To say we all make mistakes (We all make mistakes)
Take my hand and hold on (Oh, oh, oh-woah, oh-woah)
Tell me everything that you need to say
'Cause I know how it feels to be someone
Feels to be someone who loses their way

Midnight 'til morning
Call if you need somebody
I will be there for you (I will be there for you)
Midnight 'til morning
Call if you need somebody
I will be there for you

I need you to hold on
Heaven is a place not too far away
We all know I should be the one
To say we all make mistakes (We all make mistakes)
Take my hand and hold on (Hold on)
Tell me everything that you need to say
'Cause I know how it feels to be someone (Ooh, yeah)
Feels to be someone who loses their way
Midnight 'til morning
Call if you need somebody
I will be there for you (Oh, yeah, yeah)
Midnight 'til morning
Call if you need somebody
I will be there for you"
Headshot,"Lil Tjay, Polo G & Fivio Foreign","Pipe that shit up, TnT
Tahj Money
Dmac on the fuckin' track
Bordeaux and Non Native

I'm the one who tried to make a way when we was strugglin'
I remember rain, sleet, and snow, I was hustlin'
Know the feds watchin', middle fingers to the government
Glock in this Louis pouch, nigga, I ain't tusslin'
Catfish, he don't really know who he fuckin' with
Opps send a message, you grab a Drac' to rebuttal it
Had a undertaker at your tombstone, shovelin'
Hell yeah, hollows bound to chew 'em like some Doublemint
Made it out the field with somе niggas I was thuggin' with
We'll send some shots through thеy crowd while they huddlin'
I'm the type to leave it in the streets, I ain't discussin' it
Tryna make it flip, I need that Rolls-Royce Cullinan
Old bitches trippin', cut her off like a Backwood
Middle of the trenches, that's where me and the guys stood
Killers anonymous, black masks and black hoods (Yeah, uh, uh)
Walk down on him, make sure he get clapped good (Uh, uh)

I feel like the man of the hour (I do)
This gun on me (Gun on me), I'm demandin' the power (Brr)
He never talk to my face (Nah), that man is a coward
Ayy, uh, uh (Yeah)
Go lookin' for him every hour, uh
I 'member nights in the tower (I do)
She suckin' my dick out the shower
Tell her, ""Be quiet,"" she told me, ""Fuck me even louder""
Ayy, ayy, uh
Paid now (Paid now), feet up (Feet up)
All of your sneakers is beat up (They are)
Percocet (Percocet), geek up (Geek up)
You see the police and we speed up
Uh, yeah, look, they tryna catch us and link us (They tryna catch us and link us)
Uh, yeah, they tryna find us (They tryna find us, nah)
But they don't know where to meet us, uh (Bow)
She wanna chill with me and all my niggas (She do)
She get extra freaky off the liquor (Uh), uh
She told us that she got a man (What?)
So we extra sneaky when I'm with her
She a lil' bad broad (Uh), she wanna go mad far (Uh-uh)
Fivio Foreign in a fast car, I'm in a fast car, uh
Fresh in the game, still see it as a blessin', the same
Hundred thousand 'round my neck for the chain
Tryna go out like a vet' in the game, put respect on my name
No security, I'm flexin' with gang, I'm a real one
Reminiscin' about all of my decisions
Embracin' the way of livin', I was runnin' through the field, dumb
Couple niggas disrespectin', we done killed them
Keep a shooter, they won't see, he my lil' one
Thirty shots, we ain't into usin' lil' guns
Nigga talkin' like he know me, he my real son
Rap beef, fuck the cap, I'ma drill some
Put the glizzy to your melon, make you feel dumb
Headshot, all black, he won't feel nothin'
Couple hollows to his back, we done filled him
Headshot or a lifelong sentence, what you need for them to label you a real one"
Forever & Always (Taylor's Version),Taylor Swift,"Once upon a time
I believe it was a Tuesday when I caught your eye
And we caught onto something
I hold onto the night
You looked me in the eye and told me you loved me
Were you just kidding?
'Cause it seems to me
This thing is breaking down, we almost never speak
I don't feel welcome anymore
Baby, what happened? Please tell me
'Cause one second it was perfect
Now you're halfway out the door

And I stare at the phone, he still hasn't called
And then you feel so low you can't feel nothing at all
And you flashback to when he said, ""forever and always""
Oh, and it rains in your bedroom
Everything is wrong
It rains when you're here and it rains when you're gone
'Cause I was there when you said, ""forever and always""

Was I out of line?
Did I say something way too honest, made you run and hide
Like a scared little boy?
I looked into your eyes
Thought I knew you for a minute, now I'm not so sure
So here's to everything coming down to nothing
Here's to silence that cuts me to the core
Where is this going?
Thought I knew for a minute, but I don't anymore
And I stare at the phone, he still hasn't called
And then you feel so low you can't feel nothing at all
And you flashback to when he said, ""forever and always""
Oh, and it rains in your bedroom
Everything is wrong
It rains when you're here and it rains when you're gone
'Cause I was there when you said, ""forever and always""
You didn't mean it baby, I don't think so

Oh, back up, baby, back up
Did you forget everything?
Back up, baby, back up
Did you forget everything?

'Cause it rains in your bedroom
Everything is wrong
It rains when you're here and it rains when you're gone
'Cause I was there when you said, ""forever and always""
Oh, I stare at the phone, he still hasn't called
And then you feel so low you can't feel nothing at all
And you flashback to when we said, ""forever and always""
And it rains in your bedroom
Everything is wrong
It rains when you're here and it rains when you're gone
'Cause I was there when you said, ""forever and always""
You didn't mean it baby
You said, ""forever and always,"" yeah"
Lady,Brett Young,"I remember when I first heard your heartbeat
It had only been eight weeks
Standin' there, starin' at that screen, was the
First time you ever scared me
God knows I don't know
Exactly what I'm doin', but
Good news, we got her to get through it

I hope you look just like your momma
And love her like I do
You'll see close to perfect patience
If you watch your every move
You can always run to daddy
You'll always be my baby
But, look at her, baby girl
And you'll learn
How to be a lady
Just how to be a lady
Hmm-hmm

I can make you laugh 'til you cry
But she can make your tears dry, and
When you get your heart broke by the wrong guy
She can make it right
I hope you look just like your momma
And love her like I do
You'll see close to perfect patience
If you watch your every move
You can always run to daddy
You'll always be my baby
But, look at her, baby girl
And you'll learn
How to be a lady
Hmm-hmm
Just how to be a lady
Oh-oh, oh-oh


She'll hear you
She'll hold you
She'll help you through
She'll fix you
And me too

I hope you look just like your momma
And love her like I do (Love her like I do)
You'll see close to perfect patience
If you watch your every move (Every move)
You can always run to daddy
You'll always be my baby
But, look at her, baby girl
And you'll learn
How to be a lady
Just how to be a lady"
Breaking Up Was Easy In The 90's,Sam Hunt,"Yeah, man, oh man, oh man

Bartender looked at me like
""Pony up, man, we're closin' down""
I paid the tab, and I turned around
Got on that phone on the way home
And ended up down the rabbit hole again
It's funny how you haven't changed a bit
But you're twice as pretty
Glad you finally got to see New York City
And I know it's not a race
But it looks like you're gettin' over me
Faster than I'm gettin' over you
But hey, what you gon' do?

I'm sick of sittin' at the house, dyin' on my phone
Wishin' I was somewhere I can be alone
Try to let you go, somethin' always reminds me
I bet breakin' up was easy in the '90s
I'm tired of gettin' drunk, tired of bein' free
Tired of seein' pictures I don't wanna see
Girl, you're everywhere, everywhere but behind me
I bet breakin' up was easy in the '90s
Back then, I could've convinced myself
That maybe you called when I was out
But you didn't know what to say, so you didn't leave a message
And that you're probably at home right now, sound asleep
'Cause goin' out isn't really your thing
And I wouldn't have a clue what you been up to lately
Or who you been up to it with
But when I don't miss your calls, I miss you callin'
And I go 'round and 'round again

I'm sick of sittin' at the house, dyin' on my phone
Wishin' I was somewhere I can be alone
Try to let you go, somethin' always reminds me
I bet breakin' up was easy in the '90s
I'm tired of gettin' drunk, tired of bein' free
Tired of seein' pictures I don't wanna see
Girl, you're everywhere, everywhere but behind me
I bet breakin' up was easy in the '90s

Modern love, it's the modern hearts breakin'
I'm just a product of my generation, and I
'Bout had enough, watchin' you gettin' on with your life
Baby, I'm sick of sittin' at the house, dyin' on my phone
Wishin' I was somewhere I can be alone
I try to let you go, somethin' always reminds me
(I bet breakin' up was easy in the '90s)
I'm tired of gettin' drunk, tired of bein' free
Tired of seein' pictures I don't wanna see
Girl, you're everywhere, everywhere but behind me
I bet breakin' up was easy in the '90s

Hearts breakin'
I'm a product of my
Oh, a product of my generation, oh, and I
My baby, my baby"
Damage,HER,"I got the world in my hands, the master plan
But I don’t know why I keep callin', why I keep
All of these girls at my shows, they lovin' me
But I don’t know why I keep callin', why I keep callin' you, hey

All the models to the floor right now
All the models to the floor right now, what, huh?
All the models to the floor right now
All the models to the floor right now, huh?

I’m in my Christian Dior with a Veronica Webb
Noemie Lenoir, Chanel, Sessilee Lopez
Arlenis Sosa, Selita Ebanks
Grew up on Mobb Deep and speak that Jourdan Dunn language
Make a phone call out to Joan Smalls
I wonder how it feel in Lara Stone's walls?
Jessica Gomes, y'all, I would damage her
And see if Jessica Stam got the stamina
I’m in the car with Leo and the Benz swerve
I heard Bar was friends with Esti Ginzburg
Coco Rocha, Kate Mimosa
Alessandra Ambrosio, Anja Rubik and Olga
Kurylenko, tell her I’m very single
Abbey Lee too, I’m a freak, boo
I’m wilding, I’m on a thousand
I wanna see Irina Shayk next to Doutzen
I got the world in my hands, the master plan
But I don’t know why I keep callin', why I keep
All of these girls at my shows, they lovin' me
But I don’t know why I keep callin', why I keep callin' you, hey

Christian Dior denim flow
I told her I’m tryin' to eat out, so what we goin' to dinner fo'?

Miami nights, on the search for some T and A
Tryin' to hide what’s obvious to see in me
We conversate a bit about your DNA
And my salmon-colored suit from the VMAs
Oh, you was watchin'? Who the fuck wasn’t?
Me, skip across that stage in five dozen
Yuuugh! Six grand for a minute's time
Italian Vogue styled a nigga for a minute-rhyme
Let's be clear, and let's be fair
The best thing in music’s being offered here
It's a round table full of bosses here
Still giving you it all like the coffin's near

I got the world in my hands, the master plan
But I don’t know why I keep callin', why I keep
All of these girls at my shows, they lovin' me
But I don’t know why I keep callin', why I keep callin' you, hey
All the models to the floor right now
All the models to the floor right now, what, huh?
All the models to the floor right now
All the models to the floor right now, huh?

I got the world in my hands, the master plan
But I don’t know why I keep callin', why I keep
All of these girls at my shows, they lovin' me
But I don’t know why I keep callin', why I keep callin' you, hey

It’s time for a lesson in model behavior
Damn, look at all the bad bitches I gave you
Man, I can see the flaws to your flavor
Look like Wonder Woman and still need a savior
Maybe it's a billionaire, maybe it's that cocaine
I done seen drugs and money run the whole game
A good girl lost in the city life
Agent Provocateur, hold them titties right
I'm haute couture of hoes galore
Give my girl a Newport 'cause she's smoking yours
I'm the authority of model seniority
They call me ""Les"" but they all need more of me
Ugh, handcraft material, champagne for cereal
Shawty stole my heart, criminal, my lucky charm, ugh
Fly clothes and Lear shows take the stuff we on
Stuff all my problems in that bong, and I’m puffin' strong
I been locked in my way of thinkin', now my cuffs are gone
Must’ve been the liquor talkin, I’m beggin' the cups, c'mon (C'mon)
Might come off as irregular, I come in custom form
T-G-I-F, GT breeze, my hustler’s poem (Yeah)
My sound’s full-grown, reminds me of my favorite chronic (Kush)
Ball like a SuperSonic, make the haters vomit (Ugh!)
Nigga, make some money ‘fore you make a comment
I meant to snap a while ago, but who knows where the time went?
Probably dime chicks, whips with a Diddy
Now I’m back like a nine-milli, running New York City
See me clearly through the storm, the world’s mine
Sits pretty in my palm, Chandon as we continue on

I got the world in my hands, the master plan
But I don’t know why I keep callin', why I keep
All of these girls at my shows, they lovin' me
But I don’t know why I keep callin', why I keep callin' you, hey

Niggas think they know, only got half of the story
They don't really know what's in my head fuckin' with me
How can I be better? I could start with just the basics
Dior, Dior galore, I love the cut
I seem to have forgotten that I’m off the looney
To the people who don't know Cud, know what?
Rose gold presidential on my bony wrist
Took my ma to Chanel, held Elsie, the stunner
She got haters, some in the fam made us
But they don’t really matter, we escape 'em with our paper
Hey ya, I’m on my André 3000
I’m all good now, a nigga don’t need no counseling
Woke up in the room and my mojo was active
Looks from the hoes that were more than likely passive
Back when–let me not reflect on the old shit
I’m on to the new act, on to my new script
Bitches better have they thoughts before approachin'
I done heard it all, baby, save it for them other niggas
Doin' things off-beat for a living
Haters copy, I'm the image, hey
Haters copy, I'm the image"
Momma's House,Dustin Lynch,"I see your face on every street
Every corner, couple trees
Even got our name on 'em
I feel your love, I hear your laugh
Got them take-me-way-on-back
Hurt-me memories, I don't want 'em
Up and down the boulevard
In and out of every bar

I'd burn this whole town down
Pick a spot, dig a hole, put them ashes in the ground
Baby, I'd burn this whole town down
If it wasn't for my momma's house, my momma's house
Damn girl, why'd you have to break it like that?
Leaving pieces of my shattered heart scattered like glass
I'd burn this whole town down
If it wasn't for my momma's house, my momma's house

I would start it when where we started at the downtown party
Where you kissed my lips and stole my beer
The city park in the dark where we looked up at the stars
Watched them fireworks pop last year
I'd start it under that Texaco sign where you said goodbye
I'd get some gas and drop a match right there
I'd burn this whole town down
Pick a spot, dig a hole, put them ashes in the ground
Baby, I'd burn this whole town down
If it wasn't for my momma's house, my momma's house
Damn girl, why'd you have to break it like that?
Leaving pieces of my shattered heart scattered like glass
I'd burn this whole town down
If it wasn't for my momma's house, my momma's house

Fire-red flames, sunsets in the sky
Going out, staying in, staying up, long nights
Now I'm waking up alone, wishing I could move on
Blocked your number in my phone, thought it'd help, but it don't

I'd burn this whole town down
Pick a spot, dig a hole, put them ashes in the ground
Baby, I'd burn this whole town down
If it wasn't for my momma's house, my momma's house
Damn girl, why'd you have to break it like that?
Leaving pieces of my shattered heart scattered like glass
I'd burn this whole town down
If it wasn't for my momma's house, my momma's house
(Baby, I'd burn this whole town down)
(If it wasn't for my momma's house, my momma's house)"
Anyone,Justin Bieber,"Dance with me under the diamonds
See me like breath in the cold
Sleep with me here in the silence
Come kiss me, silver and gold

You say that I won't lose you, but you can't predict the future
So just hold on like you will never let go
Yeah, if you ever move on without me
I need to make sure you know that

You are the only one I'll ever love (I gotta tell ya, gotta tell ya)
Yeah, you, if it's not you, it's not anyone (I gotta tell ya, gotta tell ya)
Lookin' back on my life, you're the only good I've ever done (Ever done)
Yeah, you, if it's not you, it's not anyone (Anyone), not anyone

Forever's not enough time to (Oh)
Love you the way that I want (Love you the way that I want)
'Cause every mornin', I'll find you (Oh)
I fear the day that I don't

You say that I won't lose you, but you can't predict the future
'Cause certain things are out of our control
Yeah, if you ever move on without me
I need to make sure you know that
You are the only one I'll ever love (Only one, I gotta tell ya, gotta tell ya)
Yeah, you, if it's not you, it's not anyone (I gotta tell ya, gotta tell ya)
Lookin' back on my life, you're the only good I've ever done (I've ever done)
Yeah, you, if it's not you, it's not anyone (It's not anyone, not anyone)

Oh-oh-oh-oh
If it's not you, it's not anyone
Oh-oh-oh, yeah, woah

Yeah, you are the only one I'll ever love (I gotta tell ya, gotta tell ya, yeah, oh-oh-oh-oh)
Yeah, you, if it's not you, it's not anyone (I gotta tell ya, gotta tell ya)
Lookin' back on my life, you're the only good I've ever done (Ever done, oh, yeah)
Yeah, you, if it's not you, it's not anyone"
Fearless (Taylor's Version),Taylor Swift,"There's something 'bout the way
The street looks when it's just rained
There's a glow off the pavement, you walk me to the car
And you know I wanna ask you to dance right there
In the middle of the parking lot, yeah
Oh, yeah

We're driving down the road, I wonder if you know
I'm trying so hard not to get caught up now
But you're just so cool, run your hands through your hair
Absent-mindedly making me want you

And I don't know how it gets better than this
You take my hand and drag me head first, fearless
And I don't know why but with you I'd dance
In a storm in my best dress, fеarless

So, baby, drive slow 'til we run out of road in this onе-horse town
I wanna stay right here, in this passenger's seat
You put your eyes on me
In this moment now, capture it, remember it
'Cause I don't know how it gets better than this
You take my hand and drag me head first, fearless
And I don't know why but with you I'd dance
In a storm in my best dress, fearless
Oh, oh

Well, you stood there with me in the doorway
My hands shake, I'm not usually this way but
You pull me in and I'm a little more brave
It's the first kiss, it's flawless, really something
It's fearless
Oh, yeah

'Cause I don't know how it gets better than this
You take my hand and drag me head first, fearless
And I don't know why but with you I'd dance
In a storm in my best dress, fearless
'Cause I don't know how it gets better than this
You take my hand and drag me head first, fearless
And I don't know why but with you I'd dance
In a storm in my best dress, fearless

Oh, oh
Oh-oh, yeah"
You All Over Me (Taylor's Version) (From The Vault),Taylor Swift ,"Once the last drop of rain has dried off the pavement
Shouldn't I find a stain, but I never do
The way the tires turn stones on old county roads
They leave 'em muddy underneath, reminds me of you
You find graffiti on the walls of old bathroom stalls
You know, you can scratch it right off, it's how it used to be
But like the dollar in your pocket, it's been spent and traded in
You can't change where it's been, reminds me of me

I lived, and I learned, had you, got burned
Held out, and held on
God knows, too long, and wasted time
Lost tears, swore that I'd get out of here
But no amount of freedom gets you clean
I've still got you all over me

The best and worst day of June
Was the one that I met you
With your hands in your pockets
And your ""Don't you wish you had me?"" grin
Well I did, so I smiled
And I melted like a child
Now every breath of air I breathe reminds me of then
And I lived, and I learned, had you, got burned
Held out, and held on
God knows, too long, and wasted time
Lost tears, swore that I'd get out of here
But no amount of freedom gets you clean
I've still got you all over me


I lived, and I learned
And found out what it was to turn around
And see that we
Were never really meant to be
So I lied, and I cried
And I watched a part of myself die
'Cause no amount of freedom gets you clean
I've still got you all over me

I've still got you all over me
Still got you all over me"
My Head And My Heart,Ava Max,"Baby, now and then
I think about me now and who I could have been
And then I picture all the perfect that we lived
'Til I cut the strings on your tiny violin, oh woah

My mind's got a m-m-mind of its own right now
And it makes me hate me
I'll explode like a dynamite if I can't decide, baby

My head and my heart are torturing me, yeah
Lost my mind in your arms, I go to extremes, yeah
When angels tell me run, and monsters call it love, oh
My head and my heart are caught in-between, yeah

La-la-la-la-la
La-la-la-la-la-la-la
La-la-la-la-la
La-la-la-la-la-la-la
La-la-la-la-la
La-la-la-la-la-la-la
La-la-la-la-la
La-la-la-la-la-la-la
Tell mе yes or no
Asking the heavеns, ""Should I stay or should I go?""
You held my hand when I had nothing left to hold
And now I'm on a roll, oh
Oh woah

My mind's got a m-m-mind of its own right now
And it makes me hate me
I'll explode like a dynamite if I can't decide, baby

My head and my heart are torturing me, yeah
Lost my mind in your arms, I go to extremes, yeah
When angels tell me run, and monsters call it love, oh
My head and my heart are caught in-between, yeah

La-la-la-la-la
La-la-la-la-la-la-la
La-la-la-la-la
La-la-la-la-la-la-la
La-la-la-la-la
La-la-la-la-la-la-la
La-la-la-la-la
La-la-la-la-la-la-la
I'm standin' at the crossroads
I cross my heart with X and O's
Which way leads to forever?
Woah-oh-oh-oh-oh
God only knows

My head and my heart are torturing me, yeah
Lost my mind in your arms, I go to extremes, yeah
When angels tell me run, and monsters call it love, oh
My head (My head) and my heart (My heart)
Are caught in-between, yeah

La-la-la-la-la (Oh)
La-la-la-la-la-la-la
La-la-la-la-la (Oh)
La-la-la-la-la-la-la
La-la-la-la-la (La, la-la-la, la-la-la, la-la-la, oh)
La-la-la-la-la-la-la
La-la-la-la-la (Oh yeah)
La-la-la-la-la-la-la-la"
La Noche de Anoche,Bad Bunny & Rosalia,"Yo sé que esto no volverá a pasar
Pero si volviera a pasar, sé que sería tu debilidad

Porque la noche de anoche fue
Algo que yo no puedo explicar
Eso era dando y dándole sin parar
Tú me decías que morías por mí
Porque la noche de anoche fue (Eh-eh)
Algo que yo no puedo explicar (Eh-eh)
Eso era dando y dándole sin parar (Eh-eh)
Tú encima de mí, yo encima de ti (Oh-oh)
Eh, eh

Tú me dejaste el cuerpo caliente, infierno
Pero me dejaste el corazón frío, invierno
Soñando que contigo e' que duermo (Duermo)
Dime, papi
Dime, mami
¿Esa noche quién la borra?
Tú me besaste y se me cayó la gorra
Sin mucha labia, sin mucha cotorra
Cuando 'toy contigo dejo que la vibra corra
Y que la luna no' supervise
Con esa boquita suena rico to' lo que tú me dice'
Hicimo' pose' que yo má' nunca hice
Tú te mojaste' pa' que yo me bautice
Y me ponga serio, serio
Tú y yo junto' creando un imperio
Eso' ojito' tienen un misterio
Pero al final na' 'e lo nuestro fue en serio
Y ya me ha pasa'o que me han ilusiona'o
Y ya me ha pasa'o que me han abandona'o
Y ya me ha pasa'o que no está' a mi la'o
Y ya me ha pasa'o

Porque la noche de anoche fue (Eh-eh)
Algo que yo no puedo explicar (Eh-eh)
Eso era dando y dándole sin parar (Eh-eh)
Tú encima de mí, yo encima de ti (Oh-oh)
Porque la noche de anoche fue (Eh-eh)
Algo que yo no puedo explicar (Eh-eh)
Eso era dando y dándole sin parar (Eh-eh)
Yo encima de ti, tú encima de mí (Oh-oh)

Que yo me iría otra vez pa' Japón (Hey)
Papi, qué penita tú, qué maldición (Mmm)
La paleta es dulce, azúcar de algodón (Yeh)
Y es la única que me llega hasta al corazón
Yo no me olvido, la suerte está echada (Bum)
Se me enredaba el pelo en la pantalla
Sabe' que solo lo hago de leyenda (¡Wuh!)
Lo subo al cielo, yo soy su Messiah
El Benito es un diablillo y es un ángel
Lo tengo juquea'o como si fuera tote
Baby, entre nosotro' nunca competimos
Si preguntan dice: ""Ella to' los récords bate""
Y ya me ha pasa'o que me han ilusiona'o
Y ya me ha pasa'o que me han abandona'o
Y ya me ha pasa'o que no está' a mi la'o
Y ya me ha pasa'o

Porque la noche de anoche fue (Eh-eh)
Algo que yo no puedo explicar (Eh-eh)
Eso era dando y dándole sin parar (Eh-eh)
Tú encima de mí, yo encima de ti (Oh-oh)
Porque la noche de anoche fue (Eh-eh)
Algo que yo no puedo explicar (Eh-eh)
Eso era dando, dándole sin parar (Eh-eh)
Tú encima de mí, yo encima de ti (Oh-oh)

Mmm-jum
Mmm-jum
Mmm-jum"
You Belong With Me (Taylor's Version),Taylor Swift,"You're on the phone with your girlfriend, she's upset
She's going off about something that you said
'Cause she doesn't get your humor like I do
I'm in my room, it's a typical Tuesday night
I'm listening to the kind of music she doesn't like
And she'll never know your story like I do

'Cause she wears short skirts, I wear T-shirts
She's Cheer Captain and I'm on the bleachers
Dreaming 'bout the day when you wake up and find
That what you're looking for has been here the whole time

If you could see that I'm the onе who understands you
Been here all along, so why can't you see?
You bеlong with me, you belong with me

Walking the streets with you and your worn-out jeans
I can't help thinking this is how it ought to be
Laughing on a park bench, thinking to myself
Hey, isn't this easy?
And you've got a smile that could light up this whole town
I haven't seen it in a while since she brought you down
You say you're fine, I know you better than that
Hey, whatcha doing with a girl like that?
She wears high heels, I wear sneakers
She's Cheer Captain and I'm on the bleachers
Dreaming about the day when you wake up and find
That what you're looking for has been here the whole time

If you could see that I'm the one who understands you
Been here all along, so why can't you see?
You belong with me
Standing by and waiting at your back door
All this time how could you not know, baby?
You belong with me, you belong with me

Oh, I remember you driving to my house
In the middle of the night
I'm the one who makes you laugh
When you know you're 'bout to cry
I know your favorite songs
And you tell me 'bout your dreams
Think I know where you belong
Think I know it's with me

Can't you see that I'm the one who understands you
Been here all along, so why can't you see?
You belong with me
Standing by and waiting at your back door
All this time how could you not know, baby?
You belong with me, you belong with me
You belong with me
Have you ever thought just maybe
You belong with me?
You belong with me"
Settling Down,Miranda Lambert,"Should I give up sunsets for marigold mornings?
Should I look for rainbows or wait for the rain?
Is happiness on the highway? Or is it parked in the driveway?
Should I lean on you, babe? Or should you lean on me?

Am I looking for comfort? Am I looking for an escape?
Am I looking for you? Am I looking the other way?

I'm a wild child and a homing pigeon
Caravan and an empty kitchen
Bare feet on the tile with my head up in the clouds
One heart goin' both directions
One love and a couple of questions
Am I settlin' up or settlin' down?
Am I settlin' up or settlin' down?

I could plant a pretty garden or just send myself flowers
Be a jet-set Friday or a Sunday hometown girl
I could stay a little lonely or let you get to know me
Yeah, I could love a picket fence if it wrapped around the world

I'm a wild child and a homing pigeon
Caravan and an empty kitchen
Bare feet on the tile with my head up in the clouds
I'm one heart goin' both directions
One love and a couple of questions
Am I settlin' up or settlin' down?
Ooh, ooh, ooh

Am I looking for comfort? Am I looking for an escape?
Am I looking for you? Am I looking the other way?

I'm a wild child and a homing pigeon
A caravan and an empty kitchen
Bare feet on the tile with my head up in the clouds
One heart goin' both directions
One love and a couple of questions
Am I settlin' up or settlin' down? (Ooh, ooh)
Am I settlin' up or settlin' down?

Ooh, ooh, ooh
Ooh, ooh, ooh"
Hellcats & Trackhawks,Lil Durk,"I remember claiming Dipset (Let's get it)
I had some bitches on my line, I told them bitches get they lips wet (Bitch, get your lips wet)
Lock that door, where them bows at? (Let's get it)
Search for his gun, where his pole at? (Where his pole at?)
We on his ass, where his shows at? (Where his shows at?)
He get away, we on his ass, where he parole at? (Where hе parole at?)
I be hatin' when thеse rappers call these rappers brothers (Brothers)
Only The Family in my eyes, bitch, we got each other (Yeah)
I popped a Perc' and drunk a gallon, man, that hurt my stomach (Man, what?)
Doin' the dash inside the Lamb', that shit had make me vomit (Yeah, yeah)
Fuck from the back, I pull her hair, she screamin' while she cummin' (She cummin')
Got foenem' G-locks, they be clutchin' every time they servin' (Gang)
With all that rah-rah, like you like that, come around, you nervous (On gang)
Sneaky talkin' like you like that, now you actin' turtle (On gang)
Yeah, you ain't like that, you ain't catch a murder
Opps be threatenin' me in my DM, we ain't never worried (We ain't never worried)
Bleed, free Lil Steve, yeah, I call him Curry (Curry)
He be to himself but he'll catch a murder (Catch a murder)
I'm smokin' weed, I don't fuck with dirty (Fuck with dirty)
Can't trust a E, 'cause these bitches dirty ('Cause these bitches dirty)
I feel like Gleesh when I clutch my .30 (Uh)
Get out the streets, bitch, you touchin' thirty (Touchin', uh)
Dski been trappin', he just touched a thirty (Touched a—, uh)
Rich O be cappin' but you know that's brodie (Yeah)
Uh, ayy, Booka put the switch on for me broski (Broski)
Uh, these niggas lookin' like these niggas know me (Know me)
Yeah, you ain't my brother, you ain't my dawg or homie (Homies)
We got poppin', now they all our homies (Woo, gang)
I just had a threesome with two thick bitches (Let's get it)
They just suckin' dick 'cause I don't lick bitches (Gang, woo, gang)
He know I fucked his BM, now he sick with it (Gang, gang, gang)
Shot in his shit so when he spit, you know he twitch with it
Hellcats and Trackhawks (Let's get it)
They got Timmy on the turn up, finna blast-off (Go)
He wouldn’t got caught for that body, took his mask off (Take is mask off)
She a ungrateful lil' bitch, I take her ass off (Take her ass off)
Give me them titties back, bitch
They call my phone like, ""Get them glizzys back"", bitch
Tell your favorite rapper we ain't feelin' that, bitch
Tell your favorite trapper we ain't hearin' that (Let's get it)
He want four thou' but I got two, so nigga give me that (Man, give me that)
This stick up easy, this shit pity pat (This shit pity pat)
Know how I bleed, this where my city at (Where my city at)
I'm from the 'Raq, you know it's litty there (You know it's litty there)
I ain't never bleed, that rap’ll get me there (Yeah)"
